population,side,stack_cell,stack,cell,Time (sec),ROI_mean_Fluo,deltaF_F,led
OviDN_activation,left,546_3,546,3,9,1169.492,-0.0054730473196139716,0
OviDN_activation,left,546_3,546,3,10,1181.984,0.005150052875071708,0
OviDN_activation,left,546_3,546,3,11,1180.635,0.0040028737073939695,3
OviDN_activation,left,546_3,546,3,12,1197.603,0.01843232968749547,0
OviDN_activation,left,546_3,546,3,13,1165.921,-0.008509798103733549,0
OviDN_activation,left,546_3,546,3,14,1226.365,0.042891312060177975,0
OviDN_activation,left,546_3,546,3,15,1232.889,0.048439271207642624,0
OviDN_activation,left,546_3,546,3,16,1232.81,0.04837209021857925,0
OviDN_activation,left,546_3,546,3,17,1221.063,0.03838253226252967,0
OviDN_activation,left,546_3,546,3,18,1234.651,0.0499376623814369,0
OviDN_activation,left,546_3,546,3,19,1217.667,0.035494600125069324,0
OviDN_activation,left,546_3,546,3,20,1226.413,0.042932130888976,0
OviDN_activation,left,546_3,546,3,21,1226.968,0.043404098596953204,3
OviDN_activation,left,546_3,546,3,22,1248.492,0.061707941743800315,0
OviDN_activation,left,546_3,546,3,23,1215.46,0.03361778439262695,0
OviDN_activation,left,546_3,546,3,24,1216.476,0.03448178293551852,0
OviDN_activation,left,546_3,546,3,25,1215.905,0.033996208951275246,0
OviDN_activation,left,546_3,546,3,26,1203.778,0.023683501933907877,0
OviDN_activation,left,546_3,546,3,27,1188.032,0.010293225303622717,0
OviDN_activation,left,546_3,546,3,28,1223.254,0.040245741718705964,0
OviDN_activation,left,546_3,546,3,29,1267.238,0.07764939517396197,0
OviDN_activation,left,546_3,546,3,30,1233.524,0.0489792702969498,0
OviDN_activation,left,546_4,546,4,1,1676.636,0.0015489990698619035,0
OviDN_activation,left,546_4,546,4,2,1670.6,-0.002056643274919996,0
OviDN_activation,left,546_4,546,4,3,1680.636,0.003938424082971158,0
OviDN_activation,left,546_4,546,4,4,1659.109,-0.008920863981329597,0
OviDN_activation,left,546_4,546,4,5,1672.473,-0.0009377950125315594,0
OviDN_activation,left,546_4,546,4,6,1656.709,-0.010354518989195068,0
OviDN_activation,left,546_4,546,4,7,1666.2,-0.004685010789340094,0
OviDN_activation,left,546_4,546,4,8,1674.473,0.00025691749402306774,0
OviDN_activation,left,546_4,546,4,9,1700.236,0.015646606647206584,0
OviDN_activation,left,546_4,546,4,10,1694.327,0.012116828546590876,0
OviDN_activation,left,546_4,546,4,11,1663.073,-0.006552943793338225,3
OviDN_activation,left,546_4,546,4,12,1691.673,0.010531445050392888,0
